"","X.2","X.1","X","happy","pleased","disappointed","violated","grateful","info","commute","id","time","effort","consistency","willing","approachable","courteous","listen","honest","effort.1","neat","needs","service","satisfaction","expectation","before_merger","recommend","avail_service","open_again","negative","another_bank"
"1",1,1,1,3,3,3,3,3,3,2,2,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3
"2",2,2,2,1,1,5,5,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,1,1,4,1,1,1,5,5
"3",3,3,3,3,3,3,3,3,2,3,1,1,5,5,2,2,3,3,1,3,2,3,4,4,3,3,3,4,3,2,1
"4",4,4,4,2,2,3,1,3,3,2,2,3,4,4,4,3,3,3,3,3,3,3,4,4,4,2,3,3,2,2,3
"5",5,5,5,4,4,1,1,3,1,1,2,3,3,4,4,4,2,1,2,2,2,2,3,4,4,4,4,4,4,5,2
"6",6,6,6,3,3,3,1,3,1,1,1,3,3,2,2,2,3,2,2,2,2,2,4,4,4,5,3,3,3,2,3
"7",7,7,7,4,4,2,2,3,3,1,1,2,2,2,1,1,2,2,2,2,2,1,5,4,4,3,3,3,3,5,4
"8",8,8,8,4,4,1,1,4,2,3,2,2,2,2,2,2,2,3,2,3,2,2,3,4,4,3,3,3,3,3,3
"9",9,9,9,2,1,4,3,1,1,3,1,3,3,3,4,3,3,3,2,3,3,3,2,2,3,3,2,1,1,2,5
"10",10,10,10,5,4,1,2,5,1,5,3,2,5,2,3,3,3,3,3,3,1,3,1,3,3,3,1,1,1,4,5
"11",11,11,11,5,5,2,2,4,1,2,3,3,5,3,3,3,3,3,3,3,1,3,1,3,3,3,1,2,1,4,5
"12",12,12,12,5,5,2,2,4,1,1,5,3,1,2,3,1,1,1,1,1,1,1,4,5,4,3,4,3,4,1,1
"13",13,13,13,5,5,1,1,4,1,1,3,2,1,2,4,2,1,1,2,2,1,4,1,1,1,1,1,1,1,1,5
"14",14,14,14,5,4,1,2,4,1,1,1,5,5,1,1,1,1,1,2,2,1,2,2,4,3,1,1,4,1,2,1
"15",15,15,15,1,1,1,1,1,5,3,5,1,3,4,4,4,4,3,1,1,1,2,4,4,3,4,1,1,2,3,5
"16",16,16,16,5,4,2,1,4,1,1,5,3,1,2,3,1,1,2,1,1,1,1,4,5,4,3,4,4,4,1,1
"17",17,17,17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3
"18",18,18,18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3
"19",19,19,19,4,4,4,4,3,3,5,5,3,3,2,2,2,3,2,4,1,3,2,4,3,4,3,3,1,1,4,3
"20",20,20,20,4,4,3,2,3,3,3,3,2,3,3,3,4,3,3,3,2,2,2,3,3,3,3,3,3,3,4,4
"21",21,21,21,4,4,1,1,3,1,1,1,3,2,3,2,2,2,2,2,2,2,3,3,4,4,4,3,4,4,1,3
"22",22,22,22,3,3,1,1,3,1,1,1,3,3,3,3,4,4,3,3,3,5,5,5,1,3,3,4,4,4,5,2
"23",23,23,23,3,3,1,1,1,2,1,2,3,4,2,5,3,2,2,3,3,2,2,3,4,4,3,3,4,3,1,2
"24",24,24,24,3,3,3,3,3,1,1,1,3,3,2,2,2,2,2,2,2,3,1,5,4,3,3,4,4,4,1,3
"25",25,25,25,4,4,2,1,3,4,1,3,1,1,3,3,3,3,1,3,4,1,3,2,3,3,3,1,2,1,4,5
"26",26,26,26,4,5,1,1,3,5,1,3,1,1,5,4,4,4,2,3,4,1,5,1,1,1,2,1,1,1,5,5
"27",27,27,27,5,5,1,1,4,1,1,1,5,5,2,1,2,1,2,1,2,1,2,4,4,4,4,4,4,4,1,1
"28",28,28,28,5,5,1,1,3,4,3,3,1,1,4,4,5,5,2,4,5,1,4,2,2,2,2,1,1,1,5,4
"29",29,29,29,5,5,1,1,5,1,1,1,5,5,1,1,2,1,1,3,2,1,1,5,5,5,5,4,4,4,1,1
"30",30,30,30,5,4,1,2,3,2,1,2,3,3,3,3,3,3,3,3,3,1,4,2,2,2,2,1,1,1,5,5
"31",31,31,31,5,5,1,1,3,2,1,2,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2
"32",32,32,32,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
"33",33,33,33,5,5,1,2,3,2,2,2,4,4,2,2,2,2,1,2,2,1,3,3,3,3,3,2,2,2,4,4
"34",34,34,34,5,5,1,1,3,5,5,4,1,1,5,5,5,5,1,5,5,1,5,1,1,1,1,1,1,1,5,5
"35",35,35,35,5,4,1,1,3,5,4,4,1,1,5,5,5,5,1,5,5,2,5,1,1,1,1,1,1,1,5,5
"36",36,36,36,5,5,2,2,3,5,5,5,1,1,4,4,4,4,1,4,4,1,5,1,1,2,2,1,2,1,5,5
"37",37,37,37,5,5,1,1,3,5,5,5,1,1,5,4,5,4,1,4,4,1,5,1,1,1,1,1,2,1,5,5
"38",38,38,38,5,5,1,1,3,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"39",39,39,39,5,5,1,2,3,1,1,1,5,5,1,2,1,1,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"40",40,40,40,5,4,1,1,3,1,1,1,5,5,1,2,2,2,1,2,1,2,2,4,4,4,4,3,3,4,1,2
"41",41,41,41,5,5,2,1,3,1,1,1,5,5,2,1,1,2,1,1,2,1,1,5,5,5,5,4,4,4,1,1
"42",42,42,42,5,4,1,1,3,1,1,1,4,5,2,1,2,2,1,3,1,1,1,5,5,5,5,4,4,4,2,5
"43",43,43,43,5,4,1,2,3,4,5,4,1,2,4,5,4,5,4,5,3,2,5,1,1,1,1,1,2,1,5,5
"44",44,44,44,4,5,2,1,3,1,2,1,4,4,2,3,2,1,1,2,2,1,1,5,5,5,5,4,4,4,1,1
"45",45,45,45,3,3,4,3,3,3,2,3,3,2,3,3,2,3,2,3,3,5,3,3,2,3,2,2,2,1,4,4
"46",46,46,46,4,5,1,2,2,4,4,4,2,1,2,1,2,3,1,2,3,2,5,1,1,1,2,1,1,1,4,4
"47",47,47,47,4,4,3,2,1,4,5,4,1,1,4,5,5,4,5,5,5,1,5,2,2,2,3,1,2,1,5,5
"48",48,48,48,4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
"49",49,49,49,5,4,2,1,2,4,5,4,2,2,4,4,4,5,1,4,4,2,5,1,2,1,2,1,2,1,4,5
"50",50,50,50,4,4,2,2,4,2,2,2,4,4,2,2,1,2,1,1,2,1,2,4,5,4,3,3,3,3,3,2
"51",51,51,51,5,4,2,1,4,4,5,4,2,1,4,5,4,5,1,5,4,2,5,1,1,1,1,1,1,1,5,5
"52",52,52,52,4,4,2,2,3,5,5,5,1,1,5,5,5,5,2,4,5,2,4,2,2,1,2,1,2,1,4,5
"53",53,53,53,4,5,1,1,4,2,2,2,4,4,2,3,2,3,2,2,3,2,2,4,4,4,4,3,3,3,2,3
"54",54,54,54,5,5,1,1,4,2,2,2,4,4,2,2,2,2,1,3,2,1,2,5,4,4,3,4,4,3,3,3
"55",55,55,55,4,4,2,2,4,3,2,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,2,2,2,3,3
"56",56,56,56,4,4,2,2,4,2,2,2,4,4,2,2,2,2,1,2,2,2,2,4,4,4,3,3,3,3,2,2
"57",57,57,57,4,4,1,1,4,4,4,4,1,1,5,5,5,5,2,5,5,1,5,1,1,1,1,1,1,1,5,3
"58",58,58,58,4,4,2,2,4,5,5,4,1,1,4,4,4,4,2,4,4,2,5,1,1,1,1,1,1,1,5,5
"59",59,59,59,4,4,1,1,4,2,2,2,4,4,2,2,2,2,2,2,2,1,2,4,4,4,4,3,3,3,2,2
"60",60,60,60,2,2,3,3,3,4,4,3,1,1,4,5,4,5,2,4,5,1,5,1,1,1,1,1,2,1,5,5
"61",61,61,61,5,4,1,1,4,1,1,1,5,5,2,1,2,1,2,1,2,1,1,5,5,4,4,3,4,4,1,1
"62",62,62,62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,4
"63",63,63,63,4,4,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3
"64",64,64,64,3,3,3,3,3,4,4,4,2,2,4,5,4,3,1,4,5,2,4,2,1,1,1,1,1,1,5,5
"65",65,65,65,5,4,3,2,3,4,4,4,2,1,4,4,4,4,4,4,4,2,4,2,2,2,2,1,1,1,4,4
"66",66,66,66,4,4,2,2,4,2,2,2,4,4,2,2,3,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2
"67",67,67,67,5,5,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"68",68,68,68,2,2,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,2,4,2,2,2,2,2,2,2,4,5
"69",69,69,69,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,2,3,2,2,1,1,1,5,4
