tweet,created
5/5 #Review on #StateBankOfIndia by looser30002017 https://t.co/txVnQOnYXE,12-12-2017
RT @Siddharth_318: @statebankofindia Few days back you justified that you are deducting minimum in order to maintain other charges like mai…,31-01-2018
"RT @crypto_lines: More banks admit cryptocurrency is a real threat to them https://t.co/VxM08454g1

#Litecoin #Bitcoin #Bitecoinnews #Centr…",27-12-2017
"RT @crypto_lines: More banks admit cryptocurrency is a real threat to them https://t.co/VxM08454g1

#Litecoin #Bitcoin #Bitecoinnews #Centr…",02-01-2018
"More banks admit cryptocurrency is a real threat to them https://t.co/VxM08454g1

#Litecoin #Bitcoin #Bitecoinnews… https://t.co/GHTKM9v11q",13-01-2018
"Strive ahead! The #SBIGreenQuizathon finishing line is visible now. 
RSVP: https://t.co/kHLcBLMb6V… https://t.co/VsMti7kUhb",31-01-2018
"#SBI #statebankofindia Another milestone by a old Indian bank 
Promoting corruption by eating the breads of the wor… https://t.co/5MaPUgLFyD",04-12-2017
"Sbi fraud , My wife made a payment of 19770 on 24 Dec 2017 , SBI deducted three times 59,310 rs  from my account, N… https://t.co/I2OF10XmJy",27-01-2018
"#banks charge high to good customer  even don't offer loan when he can repay
but offers to people like #VijayMallya… https://t.co/RrD2bz44Hg",19-12-2017
RT @avidandiya: Don't forget #statebankofindia which has given maximum LOC's to diamond merchants on rigged books @ArvindKejriwal,04-01-2018
"Can you guess what is around the corner with #SBIGreenQuizathon? 
RSVP: https://t.co/kHLcBLMb6V

#SBIGreenMarathon… https://t.co/jIQ8QMoQ0d",07-12-2017
"#WhatsApp 
after
#PNBScam 

#statebankofindia ordered  high #Security https://t.co/RfDDg5iCjf",08-12-2017
Flowers are the best way to express your feelings. Send your loved ones a bouquet of flowers from Ferns n Petals an… https://t.co/iRXlD7rtar,31-01-2018
"The #SBIGreenMarathon Chennai and Ahmedabad registrations close tomorrow! Don’t be the last one to register. 
Visit… https://t.co/1oDKzULeAJ",11-12-2017
How lunch saved #statebankofindia 11000 crores. https://t.co/xkYz93Gk6g,17-01-2018
"RT @evazhengll: Goldman cut its earnings forecasts n price targets for 3 India’s state-run lenders, after the biggest banking fraud.
It low…",02-01-2018
"RT @evazhengll: Goldman cut its earnings forecasts n price targets for 3 India’s state-run lenders, after the biggest banking fraud.
It low…",02-01-2018
"#statebankofindia has gone to such rotten state, the staffs are #noncooperative #nonfunctional deserves to be termi… https://t.co/Ch8M1JvXQA",08-01-2018
"RT @evazhengll: Goldman cut its earnings forecasts n price targets for 3 India’s state-run lenders, after the biggest banking fraud.
It low…",15-12-2017
#statebankofindia why you get a charge for annual income 147.50rs,11-01-2018
"RT @evazhengll: Goldman cut its earnings forecasts n price targets for 3 India’s state-run lenders, after the biggest banking fraud.
It low…",28-01-2018
"RT @evazhengll: Goldman cut its earnings forecasts n price targets for 3 India’s state-run lenders, after the biggest banking fraud.
It low…",30-12-2017
"Goldman cut its earnings forecasts n price targets for 3 India’s state-run lenders, after the biggest banking fraud… https://t.co/OKFwicvLNF",09-12-2017
"RT @IndiaER: SBI's competitive advantage: Employee work culture!
Enabled #SBI to save Rs 11,600 crore of NPA

#statebankofindia #NiravModi…",22-12-2017
"RT @IndiaER: SBI's competitive advantage: Employee work culture!
Enabled #SBI to save Rs 11,600 crore of NPA

#statebankofindia #NiravModi…",01-02-2018
"RT @IndiaER: SBI's competitive advantage: Employee work culture!
Enabled #SBI to save Rs 11,600 crore of NPA

#statebankofindia #NiravModi…",30-12-2017
"RT @IndiaER: SBI's competitive advantage: Employee work culture!
Enabled #SBI to save Rs 11,600 crore of NPA

#statebankofindia #NiravModi…",13-01-2018
