"","Age","Gender","X","X.1","X.2","X.3","X.4","age_grouping"
"6",25,"Female",NA,NA,NA,NA,NA,"20-24"
"9",24,"Female",NA,NA,NA,NA,NA,"20-24"
"19",23,"Female",NA,NA,NA,NA,NA,"20-24"
"21",22,"Female",NA,NA,NA,NA,NA,"20-24"
"22",44,"Female",NA,NA,NA,NA,NA,"40-44"
"28",28,"Female",NA,NA,NA,NA,NA,"25-29"
"29",35,"Female",NA,NA,NA,NA,NA,"30-34"
"34",30,"Female",NA,NA,NA,NA,NA,"25-29"
"47",30,"Female",NA,NA,NA,NA,NA,"25-29"
"51",32,"Female",NA,NA,NA,NA,NA,"30-34"
"52",28,"Female",NA,NA,NA,NA,NA,"25-29"
"69",29,"Female",NA,NA,NA,NA,NA,"25-29"
"71",42,"Female",NA,NA,NA,NA,NA,"40-44"
"81",33,"Female",NA,NA,NA,NA,NA,"30-34"
"90",30,"Female",NA,NA,NA,NA,NA,"25-29"
"92",49,"Female",NA,NA,NA,NA,NA,"45-49"
"94",50,"Female",NA,NA,NA,NA,NA,"45-49"
