date,Timestamp,reviews,star,response
"Aug 24, 05 1:02",24/08/05,"I've been a customer of STATE BANK OF TRAVANCORE since the late 80's. I have had accounts with SBT at six of its branches so far, as I had to change my residence according to my father's transfers, my education and my own job. All these years I find the bank's service and facilities quite satisfactory. I can't recollect a situation which make me speak against SBT. I should say that I get a feeling of being at home when I visit an SBT branch. The bank really care for its customers and serve them sincerely, from my experience. There can be exceptions, of course. But after being a part of the bank for about 17 years I don't have the slightest of hesitation to recommend it to anyone. I have been with the bank before and after the boom of private banks, and I observe that SBT has adapted reasonably well to technological innovations in banking. Being a component of the STATE BANK GROUP, the largest network in India, their ATM coverage is exceptional. SBT has more than 670 branches in all, the majority of them in Kerala.",4,1
"Dec 26, 06 11:28",26/12/06,"I am with this bank since year 2000. This bank started at Rajeshwari Nagar in the year 2000.

This bank was working on Sundays when they opened it but now since 2 years they have stopped working on Sundays.

Since year 2000, this bank has changed the account numbers thrice, which means they changed our Savings Bank account number thrice because they upgraded to computerized branch.

Tough its computerized branch, people working here are of my fathers age and have very less knowledge about computers.

Many times when I go to get entries on my passbook, the staff gives a lame excuse as Printer not working or computer not working.

Let me tell you the disadvantages of this Branch which is at Rajeshwari Nagar.



Does not work on Sundays.



No proper staffing



Computers not working most of the time.



Printers not working most of the time.



No security guard at ATM, any one can leave the door open or anyone can go in and sleep in the AC during summer.



This branch does not issue Stamp Papers, we have to go all the way to Mysore Road, BHEL branch which opens at 10:30AM.





Only advantage of this branch is that its near to my house.

If State Banks has to improve then they should first change the staff to educated ones who know computers.

Should recruit people who have good education and merit and not by caste.

Banking with State Banks is simple, suitable for housewives, less educated individuals and my mother of course.

State Banks are not suitable for Business people, Corporate, Software/Call center Employees.",1,-2
"Aug 6, 07 12:53",06/08/07,"In todays Indian financial market we rarely consider PSU banks when opening a new account- its assumed that their service is bad and only the nimble private sector banks can meet changing consumer preferences. As I discovered, nothing can be farther from truth.

I opened my first bank account with UCO bank and then moved on to HDFC Bank, HSBC bank and Citibank before settling with ICICI bank. However, two years back, I had to open an account with state bank of Travancore because I took a loan from them in kerala(Kunnamangalam branch). Let me accept that I had never expected the service levels that I actually got. Obviously, when I shifted to Mumbai sometimes back, I decided to continue the account in Fort branch in Mumbai. I observed many things about SBT which make banking with them a pleasure. Here is a summary:

1. Honest bank: I find SBT completely honest and transparent. Not even one paisa has ever been debited from my account without explanations. The minimum quarterly balance required is only 1000 Rs and then also penalty for failing to maintain the balance is only 300 Rs.

2. Best deals:Terms of their loans are unbeatable. I havent found even a single person who took a loan with me and got a better deal. I would suggest that you compare their rates with your banks rates before taking a loan.

3. Flexibility:Now, thats something totally surprising because I had always associated PSU banks with government like work culture. But I found SBT much more flexible then any bank I had dealt with earlier.(See point 6 about withdrawing money without passbook.)

4. Personal service:Not only in Kerala but also in Mumbai I have got such high levels of personalized service that is possibly not available to even priority banking customers of many banks. Consider this- I have direct phone numbers of people I deal with and not even once someone has not received my call or not solved any problem then and there. Contrast that with frustrating call centers of private banks!

5. Fast service: I have been to ICICI branches many times. The truth is I dread going there and when it is necessary to visit a branch I allow for at least three hours even for small requests.(Remember the tokens and huge queues?). I have visited SBT at least hundred times and walked to the concerned persons every single time without any significant waiting time. In any case, branch manager is very helpful and always willing to solve any problems.

6. Trust and respect for customer:One day I lost my wallet in local train and urgently needed money after I reached my office. I did not have debit card, cheque book or the passbook. Is it possible to withdraw money in such situations from a private bank? I dont know because I did not even try. I called SBT and told them what had happened. They immediately blocked my debit card. Later, when I went to the bank they reapplied for new debit card and allowed me to withdraw money without any hassles. Why? Because employees there know me personally even though I have visited the branch only twice!(By the way, I am a very small account holder.)

7. Best ATM network: I travel a lot. However, no matter where I am I always find a state bank ATM near me unlike other banks that open ATMs only in metros. Since any state bank customer can use any other state bank ATM for free, that counts to a huge number considering that only SBI has more than 5000 AMTs. Add to that the ATMs of state bank subsidiaries like SBT. Naturally, the State bank ATMs are less crowded!

8. Knowledgeable People:Employees in SBT branches have been in business for quite some time and they really know banking. So, I have been saved the frustration of explaining complicated issues to freshers with little understanding of banking.

9. Superior processes: When I wanted internet banking facility in my account I thought it will take at least a week to get the internet login and password. But when I visited the branch, they gave me id and password then and there instead of taking down the request and mailing it to me later! In fact, in every aspect I find systems and processes of SBT more user friendly then other banks. Even in ATMs they have provided swipe system which means your ATM card never gets struck in the machine. Thats saves a lot of hassles- doesnt it?

So, is everything good about SBT? Of course, not. If you are looking for swanky branches with AC, sofa and smiling girls you wont find that in SBT. But I prefer to finish my work quickly and leave rather than to wait for long hours in AC. The humble fan works just fine for me.

Conclusion: If you want no nonsense high quality banking head for SBT, for everything else you can always check out private and foreign banks!

Desclaimer: I do am not associated with SBT in any way except that I have been their customer for last two years. I have written only for the benefit of the visitors to the website without any intention to show any other bank in negative light.",5,2
"Mar 12, 08 10:02",12/03/08,"""How pleasant."" were the first words which I uttered after we came out of Nerul, Navi Mumbai based SBT branch.One year ago we had gone there to open a saving bank account.Not only did I find the staff(right from gurad to the manager(who personally helped us with information) polite and friendly but also very professional in helping me out with our querries. Offering a variety of standard banking as well as investment services, this is a bank just like any other banking institution; yet the staff has made it's ambience so amiable that it's no longer ""only a bank"" but ""the bank"" for score of its customers like me.

With my one year of dealing with the bank's staff, I have found them remarkably behaving like a bank interested in helping numerous customers like me genuinly. Its highly remarkable in era where banks are vying for wide customerbase by behaving more and more like a marketing institution right from designing their building's ambience to unwelcomingly imposing mountain of information on public.

The location where bank is located is easily accessible and offers people living in CBD Belapur, SeaWoods Estate as well as Nerul an easy accessibility.The presence of an ATM just outside the branch makes life further simpler. While the bank is connected through internet to a nationwide SBI network offers the comfort of banking from home. Always eager to help, every visit to the bank is as welcoming as the first one which is memorable.

With variety of services under one roof, the bank offers a friendly ambience to help customers decide their investment as well as saving.Informative staff adds on to the advantage of not only the bank but also to public.

On a typical day when due to a technological snag I raised an inquiry with the bank manager which even he was unable to answer, he was humble enough to accept his ignorance and surprisingly placed an outstation call to a fellow manager in one of the other branches to find out the details.I was in for a pleasant surprise when he not only provided me information but also thanked him for helping him increase his knowledge base.

I wonder in today's metro life where there's a breed of people who treat work as a burden, there still exists another who cherish what they are doing and help make society a less complex place to exist.",5,2
"May 3, 08 9:14",03/05/08,"My self and and my wife went and opened an S/B account in Pappanamcode Branch here in Trivandrum. This was one of the nearest banks near my residence(1 1/2 Km).

Though I heard of horror stories of SBT service in Trivandrum( 2 hours to issue a DD, careless replies across the counter, total lack of professionalism in service), I saw the reviews here and took the plunge.

but I forgot one aspect that all the reviews here pertain to branches outside Kerala. Inside Kerala, somehow the don't care attitude towards customer still persists(It is not only banks, you go to any service related aspect, KSRTC, EB, University, even textile shops!). This did not strike me at that time.

I applied for ATM card also. I was told that the card will reach in 15 days time, but even after 40 days it did not reach me.

I called there customer service(toll free line 1800 112211)and the person  told that no details are with him and he cannot help. After one hour again I called and told the same problem to a different person. He told me that my account number is wrong and I have to confirm the number with the branch. I called the branch. The ""concerned Officer""  told me that the card should have come and the branch will not know whether a card is sent to customer. He told me that  I have to check with Post office whether such a card came in my name and returned back. Then if I provide that information only then he will ""think"" of doing something in this matter.

I again called up the toll free number and told that the account number is correct and whether he can help me in this regard. He coolly replies that he does not have any information and he cannot help. Then I asked him to take my phone call as a complaint and forward it to the concerned branch for further action. but he told that I have to complain to the branch, the branch will give him information and then he will provide details to me. I asked him If I have to go to branch to complain, what for he is sitting there as the customer service executive. He flatly refused to co operate and declined to provide any further help.

Now I feel that I should have listened to my Gut instincts and should have never opened an account with them.

Some members here posted some email ID's with regard to ICICI bank to which if we write complaints to, positive action  will  emerge. Is there some thing similar for SBT?

If this is the attitude of SBT, God help the bank",1,-2
"May 14, 09 2:53",14/05/09,"I'm operating my SB account since 2007, also have taken home loan from State Bank of Mysore - Thiruvanmiyur Branch, Chennai.

Very close to Thiruvanmiyur bus terminus, so it is easy for me to reach the bank.

They pay very good attn at customers. Normally, waiting period is the major concern in banks, which is very very less with SBM. There is no need to search for the managers cabin, it is just on the entrance, yu can reach easily. Ofcource you may not need it, since all the staffs are attentive to the customer requests and fast in response.

I have not uesed their ATM, phone banking and internet banking services, but hope it will be at par with any other banking co, since many banks are converging and sharing their service, so must meet some standards. The infrastructure looks old, but not yet faced any issues with them so far.

Regards,

S.Karthikeyan",3,0
"Aug 3, 09 10:25",03/08/09,"Recently went to SBT bank in Bangalore for a housing loan, I was shocked to see their performance, they were really good. The guy whom I had to meet for the home loan was really genuine & took all the time to help me with the all the information.

Like other banks (ICICI) he dint try to sell any other thing, he was only talking about the Home Loan & no insurance policy or Mutual Fund nonsense.

He collected all the documents patiently & looked into each & everything with due deligence. Gave me approximate time-frame & you wont believe all this was done in flat 15 mins.

No waiting, no queues no nonsense just plain banking. My loan is stil not approved but I am really thinking of closing my ICIC A/c & moving to SBT. Its really good. It would suggest everyone to open an account with them",5,2
"Oct 1, 09 12:24",01/10/09,"SBT is one of the oldest bank in our state and lot & lot of customers with it. I have deposited 1000 rupees from sreekaryam branch ( I dont have A/C with the branch) to my friend's A/C on Paipra branch. The cashier asked me to give extra 25Rs to him.

I asked where to enter the amount and he replied just give to him. I give him the extra amount without any proof. After core banking, I think there wasnt any charges like this for transfering money from one branch to another. Even if there is a charge why he cant give me a reciept for it?

I have used ICICI Bank & HDFC bank so many times, even for transfering money from one state to another, they haven't yet asked this sort of charges. Is there any charges for the transfer unlike other banks or Is he asked a sort of bribe? If so where to complaint?",1,-2
"Mar 26, 10 10:02",26/03/10,"In my opinion it is very good bank. I have got good experience in getting car loan within hours.  They told what they require for loan at one stroke and I submitted and the loan was sanctioned with in hours,  it is astonishing.

I recommend that bank to all of you. If you want any type of loan don't hesitate to approaching sbh. You will get best price and best product and also prompt service. U wont find such a best bank in your area. No 1 in forefront of service.They have got not of products which suits your requirement.  If you have a dream they have a scheme.

Kindly approach sbh for your banking needs and get them fulfilled.",5,2
"Apr 21, 10 5:36",21/04/10,"I have been associated with this bank as long as I remember. Both my parents were working in SBT and now they have retired. I have my savings account in this bank since childhood. But this bank also has the dubious reputation of not being responsive to the customers. Why I am saying this is inspite of my dad knowing a lot of people in SBT it took almost a month for my housing loan to get sanctioned. They were asking one paper after another. The thing that irritated me the most was after 3 weeks when I contacted them regarding the status of my loan they said I am yet to submit 1 paper. This they haven't told me earlier or I would have submitted. By that time the builder was asking for payments. Finally my dad had to run pillar to post to get our loan sanctioned on time. This kind of service irrespective of being a retired SBT senior manager's daughter. So I don't know how it will be with people who don't have any contacts in SBT.

True the delays were really irritating, but still for taking loans I would prefer this bank compared to HDFC and ICICI. Reason being their process is transperant. All the details of the money u need to pay is documented. Though in private banks loans get sanctioned fast if their process is not transperant and there will be hidden charges here and there.

I guess if SBT can improve their customer service. remove the huge paperwork and inordinate delays it will have more customers. People prefer nationalized banks for loans. It is just that the paperwork and delay that is keeping them away. SBT needs to understand this and make improvements in their customer service accordingly. Currently it has the largest number of branches in kerala and wide ATM network. Their rural reach in Kerala is much better than other banks. They need to capitalize on this strength with improved customer service to become a truly a bank of choice.",3,0
