Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
01-Jan-16,525.35,525.4927686,968,57,74.48,,,,,
04-Jan-16,524.65,524.6040536,5526,132,77.16,-0.001332445,-0.133244504,,,
05-Jan-16,520.1,521.8381818,1100,69,55.55,-0.008672448,-0.86724483,,,
06-Jan-16,519.15,519.9391727,2466,61,89.7,-0.001826572,-0.182657181,,,
07-Jan-16,517.6,515.0760135,1776,125,53.49,-0.00298565,-0.298564962,,,
08-Jan-16,518.5,519.9120879,273,23,69.96,0.001738794,0.173879444,,,
11-Jan-16,513.35,510.1585461,7676,84,85.96,-0.009932498,-0.993249759,,,
12-Jan-16,509.2,510.4967742,775,68,45.16,-0.008084153,-0.808415311,,,
13-Jan-16,496.2,498.7488711,2879,184,44.6,-0.025530244,-2.553024352,,,
14-Jan-16,490.45,495.8810078,10320,78,93.31,-0.011588069,-1.158806933,,,
15-Jan-16,485.05,485.3612856,6845,149,87.22,-0.011010297,-1.101029667,,,
18-Jan-16,475.35,475.746232,2853,140,80.65,-0.019997938,-1.999793836,,,
19-Jan-16,472.75,472.5337742,2117,100,88.19,-0.005469654,-0.546965394,,,
20-Jan-16,470.4,468.5481283,2618,135,87.24,-0.004970915,-0.497091486,,,
21-Jan-16,470.15,471.557673,997,104,75.93,-0.000531463,-0.053146259,,,
22-Jan-16,484.15,483.4944115,5726,662,62.66,0.029777731,2.977773051,,,
25-Jan-16,487.55,487.1225789,3614,51,92.47,0.007022617,0.702261696,,,
27-Jan-16,498.85,493.9974709,1977,207,31.87,0.02317711,2.317711004,,,
28-Jan-16,485.6,489.2217877,1790,139,60.34,-0.026561091,-2.656109051,,,
29-Jan-16,531,523.5040979,18302,1162,31.97,0.093492586,9.349258649,,,
01-Feb-16,536.1,534.633391,6361,374,66.56,0.00960452,0.960451977,,,
02-Feb-16,529.15,529.9763138,2702,222,71.54,-0.012963999,-1.296399925,,,
03-Feb-16,517.2,514.161991,1105,150,70.77,-0.022583388,-2.258338845,,,
04-Feb-16,513.65,517.3576111,1373,51,91.55,-0.006863882,-0.686388244,,,
05-Feb-16,517.3,516.8404255,3102,155,70.92,0.007106006,0.710600604,,,
08-Feb-16,514.4,519.8368083,2494,122,66.24,-0.005606031,-0.560603132,,,
09-Feb-16,509.45,510.7183348,1129,77,46.24,-0.009622862,-0.962286159,,,
10-Feb-16,490.95,498.9014214,2181,146,86.66,-0.036313672,-3.631367161,,,
11-Feb-16,478.55,479.1560639,4197,949,82.15,-0.025257154,-2.52571545,,,
12-Feb-16,460.25,462.5364283,2951,505,68.76,-0.038240518,-3.824051823,,,
15-Feb-16,479.55,478.0856448,2055,252,51.97,0.041933732,4.193373167,,,
16-Feb-16,457.6,462.6069541,17026,608,65.29,-0.045772078,-4.577207799,,,
17-Feb-16,455.55,453.1034898,1662,170,62.82,-0.004479895,-0.44798951,,,
18-Feb-16,470.45,467.4695252,2822,531,65.66,0.032707716,3.270771595,,,
19-Feb-16,469.3,470.5854383,1346,81,51.34,-0.002444468,-0.244446806,,,
22-Feb-16,468.6,467.8291246,1188,85,80.3,-0.001491583,-0.149158321,,,
23-Feb-16,460,462.8349448,1448,73,67.33,-0.018352539,-1.835253948,,,
24-Feb-16,458.3,458.0527778,720,66,59.58,-0.003695652,-0.369565217,,,
25-Feb-16,457.25,456.7745098,510,35,78.43,-0.002291076,-0.229107571,,,
26-Feb-16,460.1,457.7406982,4354,131,97.59,0.006232914,0.623291416,,,
29-Feb-16,469.05,469.3306153,5396,190,76.3,0.019452293,1.945229298,,,
01-Mar-16,467.7,471.1875652,6707,152,75.59,-0.002878158,-0.287815798,,,
02-Mar-16,485.95,491.0813024,15018,299,86.5,0.03902074,3.902073979,,,
03-Mar-16,500.6,499.4512232,6540,745,91.19,0.030147134,3.014713448,,,
04-Mar-16,510.95,504.2448439,5285,200,76.06,0.02067519,2.067518977,,,
08-Mar-16,503.1,506.2675361,5061,168,78.98,-0.015363539,-1.536353851,,,
09-Mar-16,504.1,505.3420907,5405,105,72.91,0.001987676,0.198767641,,,
10-Mar-16,500.2,503.8489127,6162,205,75.3,-0.00773656,-0.773656021,,,
11-Mar-16,500.75,502.1133201,503,65,60.04,0.00109956,0.109956018,,,
14-Mar-16,498.8,501.8032787,488,59,49.39,-0.003894159,-0.389415876,,,
15-Mar-16,500.05,500.7743458,2331,79,87.22,0.002506014,0.250601443,,,
16-Mar-16,494.8,495.2291786,1741,108,72.77,-0.01049895,-1.04989501,,,
17-Mar-16,499.1,498.9084967,765,72,80,0.00869038,0.869037995,,,
18-Mar-16,501.65,501.3337563,1576,100,38.52,0.005109197,0.510919655,,,
21-Mar-16,500.25,507.5436485,8557,437,74.09,-0.00279079,-0.279079039,,,
22-Mar-16,502.6,504.7585948,6661,352,69.4,0.004697651,0.469765117,,,
23-Mar-16,500.15,501.6724267,1331,39,86.93,-0.004874652,-0.487465181,,,
28-Mar-16,500.45,505.0136105,4041,218,79.21,0.00059982,0.059982005,,,
29-Mar-16,499.05,500.9686401,3412,64,94.28,-0.002797482,-0.279748227,,,
30-Mar-16,507.25,505.6404321,2592,180,74.69,0.016431219,1.643121932,,,
31-Mar-16,502.1,503.5417847,1412,128,80.03,-0.010152785,-1.015278462,,,
01-Apr-16,505.05,503.2527255,1009,31,97.42,0.005875324,0.587532364,,,
04-Apr-16,503.8,508.0552313,2227,63,86.44,-0.002475002,-0.247500248,,,
05-Apr-16,499.5,500.9323843,2529,77,86.2,-0.008535133,-0.853513299,,,
06-Apr-16,499.95,501.1826965,2277,40,96.53,0.000900901,0.09009009,,,
07-Apr-16,496.45,500.6172222,1800,136,96.28,-0.0070007,-0.700070007,,,
08-Apr-16,498.75,500.0738482,2952,98,53.86,0.004632894,0.463289354,,,
11-Apr-16,496,500.0668954,2915,47,95.75,-0.005513784,-0.551378446,,,
12-Apr-16,500.2,499.9513514,1665,49,89.43,0.008467742,0.846774194,,,
13-Apr-16,504.1,504.7897999,3549,148,70.95,0.007796881,0.779688125,,,
18-Apr-16,501.3,500.131242,3124,97,83,-0.005554453,-0.555445348,,,
20-Apr-16,502.95,502.3466165,1330,46,95.94,0.003291442,0.329144225,,,
21-Apr-16,509.25,508.1690699,2774,101,45.93,0.012526096,1.252609603,,,
22-Apr-16,513.45,510.4837742,3667,251,57.73,0.008247423,0.824742268,,,
