id,sbt,sbm,sbi,sbbj,date
1,408.7,426.2,227.65,525.35,01-01-2016
2,407.6,421.5,220.95,524.65,04-01-2016
3,407.85,422.1,218.25,520.1,05-01-2016
4,404.45,420.6,217,519.15,06-01-2016
5,398.25,423.7,209.55,517.6,07-01-2016
6,399.85,426.3,208.95,518.5,08-01-2016
7,399.5,425.2,204.3,513.35,11-01-2016
8,395.35,419.6,199.85,509.2,12-01-2016
9,396.05,418.2,200.95,496.2,13-01-2016
10,395.55,413.4,195.8,490.45,14-01-2016
11,389.85,406.5,184.75,485.05,15-01-2016
12,392.45,400.4,181.1,475.35,18-01-2016
13,399.15,400.3,183.1,472.75,19-01-2016
14,392.65,386.7,173.7,470.4,20-01-2016
15,391.05,390.7,175.85,470.15,21-01-2016
16,393.55,399,184.3,484.15,22-01-2016
17,394.75,408.7,182.9,487.55,25-01-2016
18,391.75,408,184.3,498.85,27-01-2016
19,392.25,393.4,185.35,485.6,28-01-2016
20,396,390.6,179.95,531,29-01-2016
21,394.65,384,172.9,536.1,01-02-2016
22,394.2,392.3,169.45,529.15,02-02-2016
23,389.45,387.1,166.05,517.2,03-02-2016
24,390.05,382.5,163.05,513.65,04-02-2016
25,390.75,386.9,168.2,517.3,05-02-2016
26,385.7,390,172.05,514.4,08-02-2016
27,385.4,379.7,167,509.45,09-02-2016
28,379.1,378.2,158.95,490.95,10-02-2016
29,372.6,377.8,154.2,478.55,11-02-2016
30,373.35,372.2,154.95,460.25,12-02-2016
31,376.8,377,167.25,479.55,15-02-2016
32,380.75,380,156.4,457.6,16-02-2016
33,377.45,370.2,159.15,455.55,17-02-2016
34,385.3,374,159.55,470.45,18-02-2016
35,382.4,375,164.65,469.3,19-02-2016
36,378.55,385,164.95,468.6,22-02-2016
37,371.05,375,158.45,460,23-02-2016
38,366.05,368.4,156.7,458.3,24-02-2016
39,362.25,365.6,151.9,457.25,25-02-2016
40,362.3,365.2,156.25,460.1,26-02-2016
41,370.2,376.1,158.4,469.05,29-02-2016
42,370.7,369.1,162.2,467.7,01-03-2016
43,384.25,376.4,180.85,485.95,02-03-2016
44,389.5,381.8,182.5,500.6,03-03-2016
45,392.3,381.6,188.4,510.95,04-03-2016
46,388.15,374,183.65,503.1,08-03-2016
47,386.6,373,183.45,504.1,09-03-2016
48,387.5,378.9,180.65,500.2,10-03-2016
