Date,Close Price,WAP,No.of Shares,No. of Trades,Deliverable Quantity,Change,%Change,VOLATILITY,ANNUALIZED VOLATILITY,Notes,Moving average,Count
2016-01-01,227.65,226.8492571,1116988,8587,223551,,,,,,,
2016-01-04,220.95,222.7682578,1712144,17606,645428,-0.029431144,-2.94311443,,,,,
2016-01-05,218.25,219.7587889,1967198,24503,568512,-0.012219959,-1.221995927,,,,,
2016-01-06,217,218.0058954,1495570,13802,377208,-0.005727377,-0.572737686,,,,,
2016-01-07,209.55,210.8899948,2310928,21868,800334,-0.034331797,-3.433179724,,,,,
2016-01-08,208.95,210.117761,1498892,15400,513094,-0.002863278,-0.286327845,,,,,
2016-01-11,204.3,204.6885976,2215131,19032,647798,-0.022254128,-2.225412778,,,,,
2016-01-12,199.85,201.4559361,2294892,24073,798744,-0.021781694,-2.178169359,,,,,
2016-01-13,200.95,198.8087264,2839483,23714,685973,0.005504128,0.55041281,,,,,
2016-01-14,195.8,197.4292229,2100876,22877,478259,-0.025628266,-2.562826574,,,,,
2016-01-15,184.75,190.100908,3289601,36005,1163483,-0.056435138,-5.64351379,,,,,
2016-01-18,181.1,183.480786,3987880,34244,1333826,-0.019756428,-1.97564276,,,,,
2016-01-19,183.1,184.1030783,2348244,20983,547796,0.011043622,1.104362231,,,,,
2016-01-20,173.7,175.2104122,3560531,34175,1334237,-0.051338067,-5.133806663,,,,,
2016-01-21,175.85,175.5789458,3304691,30843,679546,0.012377663,1.237766264,,,,,
2016-01-22,184.3,182.5161058,2513103,23707,645353,0.048052317,4.805231732,,,,,
2016-01-25,182.9,185.3112702,1700105,15951,564171,-0.00759631,-0.759631036,,,,,
2016-01-27,184.3,183.8551501,2380658,19803,868117,0.007654456,0.765445599,,,,,
2016-01-28,185.35,184.4030605,1244585,11543,336757,0.005697233,0.569723277,,,,,
2016-01-29,179.95,180.6231143,2795659,22178,698753,-0.029134071,-2.913407068,,,,,
2016-02-01,172.9,175.5435109,2805484,27377,1027347,-0.039177549,-3.917754932,,,,,
2016-02-02,169.45,172.6235409,3963363,40891,779333,-0.01995373,-1.995373048,,,,,
2016-02-03,166.05,165.811245,3399078,29317,923704,-0.020064916,-2.00649159,,,,,
2016-02-04,163.05,164.8566302,2595289,24702,635208,-0.018066847,-1.806684734,,,,,
2016-02-05,168.2,166.1274773,2475508,19875,755217,0.031585403,3.158540325,,,,,
2016-02-08,172.05,173.6925983,2909278,26124,563930,0.022889417,2.288941736,,,,,
2016-02-09,167,168.7878457,2672324,20775,450010,-0.029351933,-2.935193258,,,,,
2016-02-10,158.95,161.7414306,3674507,31781,1036655,-0.048203593,-4.820359281,,,,,
2016-02-11,154.2,159.3619563,9834525,79190,1513740,-0.029883611,-2.98836112,,,,,
2016-02-12,154.95,152.3394511,5166258,44179,1003843,0.004863813,0.486381323,,,,,
2016-02-15,167.25,165.0973561,4511775,37935,887694,0.079380445,7.93804453,,,,,
2016-02-16,156.4,162.0227787,5059940,36571,981010,-0.064872945,-6.487294469,,,,,
2016-02-17,159.15,156.1485998,4317886,36829,410997,0.01758312,1.75831202,,,,,
2016-02-18,159.55,159.9230236,3245708,23442,517185,0.002513352,0.251335218,,,,,
2016-02-19,164.65,163.014979,2675819,21683,551654,0.031964901,3.196490128,,,,,
2016-02-22,164.95,165.1522905,1732629,16806,345664,0.001822047,0.182204677,,,,,
2016-02-23,158.45,159.935683,3359454,20537,1649121,-0.039405881,-3.940588057,,,,,
2016-02-24,156.7,158.2933708,2612373,21804,369117,-0.011044494,-1.104449353,,,,,
2016-02-25,151.9,154.0912268,2781627,26020,890329,-0.03063178,-3.063178047,,,,,
2016-02-26,156.25,155.7631671,2664596,24691,519720,0.028637261,2.863726136,,,,,
2016-02-29,158.4,159.046286,9080674,72156,1021441,0.01376,1.376,,,,,
2016-03-01,162.2,161.1766347,2941008,27580,527295,0.023989899,2.398989899,,,,,
2016-03-02,180.85,177.8135113,7051639,58218,1623913,0.114981504,11.49815043,,,,,
2016-03-03,182.5,181.3507991,3884782,32534,531084,0.009123583,0.912358308,,,,,
2016-03-04,188.4,185.1478315,4418205,36358,663256,0.032328767,3.232876712,,,,,
2016-03-08,183.65,184.2446656,3064239,32605,582672,-0.025212314,-2.521231423,,,,,
2016-03-09,183.45,181.6449939,2757274,20896,353245,-0.001089028,-0.108902804,,,,,
2016-03-10,180.65,181.6252031,2264920,15888,390656,-0.015263014,-1.526301445,,,,,
2016-03-11,180.35,180.382986,2656995,18971,403859,-0.00166067,-0.16606698,,,,,
2016-03-14,181.9,181.8855223,1627470,12206,354007,0.0085944,0.859439978,,,,,
2016-03-15,185.25,184.6388843,2106123,16233,514301,0.018416712,1.841671248,,,,,
2016-03-16,185.1,184.075155,1853901,14000,260725,-0.000809717,-0.08097166,,,,,
2016-03-17,186.15,187.5999568,2004636,20417,404867,0.005672609,0.56726094,,,,,
2016-03-18,191.05,188.9771227,2161579,18273,535896,0.026322858,2.632285791,,,,,
2016-03-21,196.65,195.3276745,1890663,20604,489497,0.029311699,2.931169851,,,,,
2016-03-22,197.4,196.410203,1983301,16043,332781,0.003813883,0.381388253,,,,,
2016-03-23,196.8,196.4895841,1151510,10647,178767,-0.003039514,-0.303951368,,,,,
2016-03-28,188.45,192.1396835,2165388,18824,671045,-0.042428862,-4.242886179,,,,,
2016-03-29,189.5,189.5860037,1639587,13455,299903,0.00557177,0.55717697,,,,,
2016-03-30,197.55,194.8584559,2149916,18022,467936,0.042480211,4.248021108,,,,,
2016-03-31,194.3,195.9558685,2515892,24894,443053,-0.016451531,-1.645153126,,,,,
2016-04-01,195.7,194.9638105,2072396,18337,295360,0.007205353,0.720535255,,,,,
2016-04-04,195,195.1830292,1632477,14394,384521,-0.003576903,-0.357690342,,,,,
2016-04-05,184.5,189.2306774,4328825,42377,1302158,-0.053846154,-5.384615385,,,,,
2016-04-06,183.95,184.0999709,1778378,17536,337447,-0.00298103,-0.298102981,,,,,
2016-04-07,182.1,183.2759292,1857411,18432,261610,-0.010057081,-1.005708073,,,,,
2016-04-08,183.1,182.6621027,1546393,13944,294719,0.005491488,0.549148819,,,,,
2016-04-11,188.15,185.4021392,2004726,16964,497665,0.027580557,2.758055707,,,,,
2016-04-12,187.7,188.2868703,1402477,12390,225081,-0.002391709,-0.239170874,,,,,
2016-04-13,191.75,192.1547769,1890928,16320,518348,0.021576985,2.157698455,,,,,
2016-04-18,186.85,187.4566597,1276445,12911,379273,-0.025554107,-2.555410691,,,,,
2016-04-20,187.3,186.6356961,1965713,19781,358032,0.002408349,0.240834894,,,,,
2016-04-21,194.2,194.7799869,3115164,24971,729686,0.036839295,3.683929525,,,,,
2016-04-22,199.9,198.5448289,4435130,33782,917135,0.029351184,2.935118435,,,,,
2016-04-25,197.3,199.4815175,2266852,18743,412069,-0.013006503,-1.300650325,,,,,
2016-04-26,200.85,198.7614535,2179231,20559,340926,0.017992904,1.799290421,,,,,
2016-04-27,196.5,198.0231749,1603074,16082,369148,-0.021657954,-2.16579537,,,,,
2016-04-28,192.15,193.9209141,2591182,18650,583717,-0.022137405,-2.213740458,,,,,
2016-04-29,188.95,189.8649319,2639631,21800,545203,-0.016653656,-1.6653656,,,,,
2016-05-02,186.4,186.997318,1384041,14564,347507,-0.013495634,-1.349563377,,,,,
2016-05-03,184.2,186.5094915,1917761,18122,435171,-0.011802575,-1.180257511,,,,,
2016-05-04,180.1,181.850018,2083677,20292,539650,-0.022258415,-2.225841477,,,,,
2016-05-05,180.45,180.4632627,2396487,18272,376501,0.001943365,0.19433648,,,,,
2016-05-06,184.4,183.0454344,2299426,19286,460696,0.02188972,2.188972014,,,,,
2016-05-09,188.65,187.2343222,1469707,14207,398957,0.023047722,2.304772234,,,,,
2016-05-10,189.3,188.8123684,1197693,11252,210576,0.003445534,0.344553406,,,,,
2016-05-11,184.95,186.3734906,1420234,13094,383715,-0.022979398,-2.297939778,,,,,
2016-05-12,188.4,187.2647512,2216583,15623,847415,0.01865369,1.865369019,,,,,
2016-05-13,185,185.2812771,2424054,12635,1122227,-0.018046709,-1.804670913,,,,,
2016-05-16,177.2,177.5031484,4356015,36019,1770099,-0.042162162,-4.216216216,0.028686652,-0.397757042,before merger news,183.4143208,
2016-05-17,177.05,176.8587559,3425424,21239,1465127,-0.000846501,-0.084650113,0.028540312,-0.008030615,on the day of merger news,182.8984837,
2016-05-18,180.2,178.5789615,2611488,21113,561680,0.017791584,1.77915843,0.028596472,0.255357274,before merger,245.8775621,
2016-05-19,172.9,175.7061909,3330710,23001,1438997,-0.040510544,-4.051054384,0.028887652,0.09233352,after merger,292.6500992,
2016-05-20,171.45,172.6543891,2496808,21811,872400,-0.00838635,-0.838635049,0.028689338,-0.141548028,after the pnb scam,276.4981592,
2016-05-23,168.95,169.8636883,2468012,17885,961307,-0.014581511,-1.458151064,0.028720916,,,,
2016-05-24,169.55,168.2426695,1700663,15131,420413,0.003551347,0.355134655,0.028644081,,,,
2016-05-25,175.15,173.8812802,1698436,13518,586639,0.033028605,3.302860513,0.028796032,,,,
2016-05-26,183.75,179.5273505,3110660,26023,844889,0.049100771,4.910077077,0.029276037,,,,
