Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility
2016-01-01,426.2,424.234102,1431,35,86.37,,,,
2016-01-04,421.5,421.3514851,1212,86,82.01,-0.011027687,-1.102768653,,
2016-01-05,422.1,421.625,24,5,95.83,0.001423488,0.142348754,,
2016-01-06,420.6,420.143402,1311,84,51.18,-0.00355366,-0.355366027,,
2016-01-07,423.7,420.8378533,3503,87,95.69,0.007370423,0.73704232,,
2016-01-08,426.3,422.8761096,2591,94,81.67,0.006136417,0.613641728,,
2016-01-11,425.2,423.6504788,1462,80,73.19,-0.002580342,-0.258034248,,
2016-01-12,419.6,419.1525601,1914,56,95.61,-0.013170273,-1.317027281,,
2016-01-13,418.2,414.9674938,4030,160,53.62,-0.003336511,-0.333651096,,
2016-01-14,413.4,405.3581722,5274,42,97.16,-0.011477762,-1.147776184,,
2016-01-15,406.5,406.8364888,581,39,84.85,-0.016690856,-1.669085631,,
2016-01-18,400.4,401.7583333,840,54,81.79,-0.01500615,-1.500615006,,
2016-01-19,400.3,402.9967846,311,46,58.52,-0.00024975,-0.024975025,,
2016-01-20,386.7,389.4513588,2539,98,97.72,-0.033974519,-3.397451911,,
2016-01-21,390.7,391.6490765,379,38,53.3,0.010343936,1.034393587,,
2016-01-22,399,397.920339,590,59,77.12,0.021243921,2.124392117,,
2016-01-25,408.7,409.2,530,50,36.79,0.024310777,2.431077694,,
2016-01-27,408,407.4037559,213,26,57.28,-0.001712748,-0.171274774,,
2016-01-28,393.4,390.6745333,5678,213,43.25,-0.035784314,-3.578431373,,
2016-01-29,390.6,392.1308933,1612,96,42.25,-0.007117438,-0.711743772,,
2016-02-01,384,386.3853061,1225,74,85.06,-0.016897081,-1.689708141,,
2016-02-02,392.3,390.8165266,714,34,79.13,0.021614583,2.161458333,,
2016-02-03,387.1,381.7829457,1032,60,84.59,-0.013255162,-1.325516187,,
2016-02-04,382.5,382.8050734,749,29,87.45,-0.011883234,-1.188323431,,
2016-02-05,386.9,385.2070707,198,25,59.6,0.011503268,1.150326797,,
2016-02-08,390,390.4444444,9,7,55.56,0.008012406,0.801240631,,
2016-02-09,379.7,381.5694932,1993,58,33.87,-0.026410256,-2.641025641,,
2016-02-10,378.2,379.1351351,333,28,93.99,-0.003950487,-0.395048723,,
2016-02-11,377.8,372.853598,403,25,90.82,-0.001057641,-0.105764146,,
2016-02-12,372.2,362.173686,2873,144,52.38,-0.014822657,-1.482265749,,
2016-02-15,377,375.9775281,178,19,89.89,0.012896292,1.289629232,,
2016-02-16,380,379.0307692,65,15,87.69,0.00795756,0.795755968,,
2016-02-17,370.2,370.9378531,531,58,64.03,-0.025789474,-2.578947368,,
2016-02-18,374,376,5,5,20,0.010264722,1.026472177,,
2016-02-19,375,375.4705882,34,8,88.24,0.002673797,0.267379679,,
2016-02-22,385,377.9722222,36,24,50,0.026666667,2.666666667,,
2016-02-23,375,372.79,100,14,67,-0.025974026,-2.597402597,,
2016-02-24,368.4,368.0725806,124,31,83.06,-0.0176,-1.76,,
2016-02-25,365.6,368.1688312,231,49,57.14,-0.007600434,-0.760043431,,
2016-02-26,365.2,367.4015748,127,33,76.38,-0.001094092,-0.10940919,,
2016-02-29,376.1,375.375,16,15,18.75,0.029846659,2.984665936,,
2016-03-01,369.1,365.6235133,2186,119,59.74,-0.018612071,-1.861207126,,
2016-03-02,376.4,377.9141675,1934,94,24.04,0.019777838,1.977783798,,
2016-03-03,381.8,381.5962567,374,31,88.77,0.01434644,1.434643996,,
2016-03-04,381.6,381.6531284,911,74,71.68,-0.000523834,-0.052383447,,
2016-03-08,374,380.7993421,304,30,73.36,-0.019916143,-1.991614256,,
2016-03-09,373,373.1666667,90,11,95.56,-0.002673797,-0.267379679,,
2016-03-10,378.9,374.835,200,9,97.5,0.015817694,1.581769437,,
2016-03-11,375,371.9125,320,30,92.19,-0.010292953,-1.029295329,,
2016-03-14,368.1,370.25,24,12,91.67,-0.0184,-1.84,,
2016-03-15,368.5,369.2413793,145,9,98.62,0.001086661,0.108666123,,
2016-03-16,364.8,366.1292835,642,45,87.54,-0.010040706,-1.004070556,,
2016-03-17,364.8,365.0394366,710,29,81.55,0,0,,
2016-03-18,365,369.6142805,2717,77,50.46,0.000548246,0.054824561,,
2016-03-21,366.9,367.2291667,1632,81,53.98,0.005205479,0.520547945,,
2016-03-22,365,366.5784615,325,23,98.77,-0.005178523,-0.517852276,,
2016-03-23,366.5,365.0956284,1830,75,54.92,0.004109589,0.410958904,,
2016-03-28,360.4,362.5805627,391,40,53.71,-0.016643929,-1.664392906,,
2016-03-29,358.3,359.918552,442,27,87.56,-0.005826859,-0.582685905,,
