Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,VOLATILITY,ANNUALIZED VOLATILITY
2016-01-01,408.7,408.1834577,1608,81,68.16,,,,
2016-01-04,407.6,404.4016227,1972,192,32.66,-0.002691461,-0.269146073,,
2016-01-05,407.85,405.0207972,1154,100,25.91,0.000613346,0.061334642,,
2016-01-06,404.45,404.2178988,257,35,43.19,-0.008336398,-0.833639819,,
2016-01-07,398.25,399.3643808,1954,138,70.27,-0.01532946,-1.532945976,,
2016-01-08,399.85,398.5179817,3726,138,60.23,0.004017577,0.40175769,,
2016-01-11,399.5,398.0857143,280,33,73.21,-0.000875328,-0.087532825,,
2016-01-12,395.35,397.3430079,379,40,79.95,-0.010387985,-1.038798498,,
2016-01-13,396.05,393.3904762,3570,257,62.72,0.001770583,0.177058303,,
2016-01-14,395.55,395.4086294,394,63,49.49,-0.001262467,-0.126246686,,
2016-01-15,389.85,390.6707591,6679,116,93.4,-0.014410315,-1.441031475,,
2016-01-18,392.45,390.4908815,4606,147,87.89,0.006669232,0.666923176,,
2016-01-19,399.15,394.2124163,1643,71,77.85,0.017072239,1.70722385,,
2016-01-20,392.65,389.8094156,3080,83,74.55,-0.016284605,-1.628460479,,
2016-01-21,391.05,391.0391608,715,48,61.4,-0.004074876,-0.407487584,,
2016-01-22,393.55,394.8377976,1344,80,53.57,0.006393044,0.639304437,,
2016-01-25,394.75,397.726206,1534,72,45.96,0.003049168,0.304916783,,
2016-01-27,391.75,392.6062143,1577,62,72.61,-0.007599747,-0.759974668,,
2016-01-28,392.25,390.5257732,97,16,75.26,0.001276324,0.127632419,,
2016-01-29,396,398.13445,2209,169,30.47,0.009560229,0.956022945,,
2016-02-01,394.65,395.5188928,2276,227,42.93,-0.003409091,-0.340909091,,
2016-02-02,394.2,402.7753961,7511,352,21.48,-0.001140251,-0.114025086,,
2016-02-03,389.45,391.7369792,1536,111,24.8,-0.012049721,-1.204972095,,
2016-02-04,390.05,391.0199203,753,66,66.4,0.001540634,0.154063423,,
2016-02-05,390.75,390.2051948,385,88,42.08,0.001794642,0.179464171,,
2016-02-08,385.7,387.6470956,1601,132,58.84,-0.012923864,-1.292386436,,
2016-02-09,385.4,387.3041237,582,58,63.57,-0.000777807,-0.077780659,,
2016-02-10,379.1,382.1311983,1936,62,82.28,-0.016346653,-1.634665283,,
2016-02-11,372.6,373.6089286,2240,210,59.38,-0.017145872,-1.71458718,,
2016-02-12,373.35,371.3152263,1215,126,56.79,0.002012882,0.201288245,,
2016-02-15,376.8,379.2788931,1843,137,59.47,0.009240659,0.92406589,,
2016-02-16,380.75,382.4067797,3363,240,71.99,0.010483015,1.048301486,,
2016-02-17,377.45,377.3855773,2399,144,51.6,-0.008667104,-0.86671044,,
2016-02-18,385.3,383.1528977,811,50,67.08,0.020797457,2.079745662,,
2016-02-19,382.4,382.5591837,245,35,64.08,-0.007526603,-0.752660265,,
2016-02-22,378.55,379.8843931,346,60,79.19,-0.010067992,-1.006799163,,
2016-02-23,371.05,374.1776691,1227,82,84.6,-0.019812442,-1.981244221,,
2016-02-24,366.05,368.6241135,282,28,63.48,-0.013475273,-1.347527287,,
2016-02-25,362.25,362.7889391,886,32,94.92,-0.010381095,-1.038109548,,
2016-02-26,362.3,363.4701195,753,73,68.66,0.000138026,0.013802622,,
