Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-March-2016,160,163,159,162.2,161.1766347,2941008,27580,474021772,527295,17.93,4,2.2
02-March-2016,172.5,183,171,180.85,177.8135113,7051639,58218,1253876691,1623913,23.03,12,8.35
03-March-2016,184,184.75,178.55,182.5,181.3507991,3884782,32534,704508320,531084,13.67,6.2,-1.5
04-March-2016,183.4,189.8,178.55,188.4,185.1478315,4418205,36358,818021075,663256,15.01,11.25,5
08-March-2016,187,187.5,181.4,183.65,184.2446656,3064239,32605,564569690,582672,19.02,6.1,-3.35
09-March-2016,180.65,183.95,178.8,183.45,181.6449939,2757274,20896,500845019,353245,12.81,5.15,2.8
10-March-2016,184.5,184.8,179.45,180.65,181.6252031,2264920,15888,411366555,390656,17.25,5.35,-3.85
11-March-2016,180.2,182.65,177.7,180.35,180.382986,2656995,18971,479276692,403859,15.2,4.95,0.15
14-March-2016,182.35,183.4,180.7,181.9,181.8855223,1627470,12206,296013231,354007,21.75,2.7,-0.45
15-March-2016,182,186.1,181.85,185.25,184.6388843,2106123,16233,388872201,514301,24.42,4.25,3.25
16-March-2016,184.8,185.9,181.65,185.1,184.075155,1853901,14000,341257114,260725,14.06,4.25,0.3
17-March-2016,188,189.25,184.65,186.15,187.5999568,2004636,20417,376069627,404867,20.2,4.6,-1.85
18-March-2016,186.45,192,186,191.05,188.9771227,2161579,18273,408488980,535896,24.79,6,4.6
21-March-2016,193.75,197.15,193.15,196.65,195.3276745,1890663,20604,369298807,489497,25.89,4,2.9
22-March-2016,197.7,198,194.5,197.4,196.410203,1983301,16043,389540552,332781,16.78,3.5,-0.3
23-March-2016,197,197.45,195.2,196.8,196.4895841,1151510,10647,226259721,178767,15.52,2.25,-0.2
28-March-2016,196.8,198.05,187.7,188.45,192.1396835,2165388,18824,416056965,671045,30.99,10.35,-8.35
29-March-2016,188.8,191.25,186.8,189.5,189.5860037,1639587,13455,310842747,299903,18.29,4.45,0.7
30-March-2016,191.5,198.25,190.6,197.55,194.8584559,2149916,18022,418929312,467936,21.77,7.65,6.05
31-March-2016,198,198.75,192.7,194.3,195.9558685,2515892,24894,493003802,443053,17.61,6.05,-3.7
01-April-2016,194,197.25,192.05,195.7,194.9638105,2072396,18337,404042221,295360,14.25,5.2,1.7
04-April-2016,198,198,192.9,195,195.1830292,1632477,14394,318631806,384521,23.55,5.1,-3
05-April-2016,193,194.65,183.45,184.5,189.2306774,4328825,42377,819146487,1302158,30.08,11.2,-8.5
06-April-2016,185,185.65,182.5,183.95,184.0999709,1778378,17536,327399338,337447,18.97,3.15,-1.05
07-April-2016,184.05,185.65,181.15,182.1,183.2759292,1857411,18432,340418727,261610,14.08,4.5,-1.95
08-April-2016,181.2,183.8,180.35,183.1,182.6621027,1546393,13944,282467397,294719,19.06,3.45,1.9
11-April-2016,183.6,188.9,182,188.15,185.4021392,2004726,16964,371680489,497665,24.82,6.9,4.55
12-April-2016,188.3,190,186.4,187.7,188.2868703,1402477,12390,264068005,225081,16.05,3.6,-0.6
13-April-2016,191.1,193.7,190.85,191.75,192.1547769,1890928,16320,363350848,518348,27.41,2.85,0.65
18-April-2016,191.65,191.7,185.8,186.85,187.4566597,1276445,12911,239278116,379273,29.71,5.9,-4.8
20-April-2016,188.4,188.65,184.3,187.3,186.6356961,1965713,19781,366872214,358032,18.21,4.35,-1.1
21-April-2016,190,197.35,190,194.2,194.7799869,3115164,24971,606771603,729686,23.42,7.35,4.2
22-April-2016,193.05,201.25,191.8,199.9,198.5448289,4435130,33782,880572127,917135,20.68,9.45,6.85
25-April-2016,201,202.5,195.95,197.3,199.4815175,2266852,18743,452195077,412069,18.18,6.55,-3.7
26-April-2016,196.65,201.4,194.6,200.85,198.7614535,2179231,20559,433147121,340926,15.64,6.8,4.2
27-April-2016,201.1,201.1,196,196.5,198.0231749,1603074,16082,317445803,369148,23.03,5.1,-4.6
28-April-2016,196.5,198.25,191.5,192.15,193.9209141,2591182,18650,502484382,583717,22.53,6.75,-4.35
29-April-2016,191.65,194,186.65,188.95,189.8649319,2639631,21800,501173360,545203,20.65,7.35,-2.7
02-May-2016,188,188.5,186,186.4,186.997318,1384041,14564,258811955,347507,25.11,2.5,-1.6
03-May-2016,187.3,189.3,183.75,184.2,186.5094915,1917761,18122,357680629,435171,22.69,5.55,-3.1
04-May-2016,183.95,184.25,179.6,180.1,181.850018,2083677,20292,378916700,539650,25.9,4.65,-3.85
05-May-2016,180.55,182.4,178.6,180.45,180.4632627,2396487,18272,432477863,376501,15.71,3.8,-0.1
06-May-2016,180.5,185,180.2,184.4,183.0454344,2299426,19286,420899431,460696,20.04,4.8,3.9
09-May-2016,186.15,189.2,185.25,188.65,187.2343222,1469707,14207,275179594,398957,27.15,3.95,2.5
10-May-2016,188.5,190,186.85,189.3,188.8123684,1197693,11252,226139252,210576,17.58,3.15,0.8
11-May-2016,185.65,188.6,184.3,184.95,186.3734906,1420234,13094,264693968,383715,27.02,4.3,-0.7
12-May-2016,187.1,189.4,185.45,188.4,187.2647512,2216583,15623,415087864,847415,38.23,3.95,1.3
13-May-2016,187.15,187.6,184.4,185,185.2812771,2424054,12635,449131821,1122227,46.3,3.2,-2.15
16-May-2016,185,185,175.4,177.2,177.5031484,4356015,36019,773206377,1770099,40.64,9.6,-7.8
17-May-2016,178.5,178.95,175.3,177.05,176.8587559,3425424,21239,605816227,1465127,42.77,3.65,-1.45
18-May-2016,177.1,180.55,173.65,180.2,178.5789615,2611488,21113,466356815,561680,21.51,6.9,3.1
19-May-2016,181,181,172.05,172.9,175.7061909,3330710,23001,585226367,1438997,43.2,8.95,-8.1
20-May-2016,173,174.7,170.7,171.45,172.6543891,2496808,21811,431084860,872400,34.94,4,-1.55
23-May-2016,172.8,172.85,168.5,168.95,169.8636883,2468012,17885,419225621,961307,38.95,4.35,-3.85
24-May-2016,168.95,170.7,166.6,169.55,168.2426695,1700663,15131,286124083,420413,24.72,4.1,0.6
25-May-2016,171.2,175.75,171.2,175.15,173.8812802,1698436,13518,295326226,586639,34.54,4.55,3.95
26-May-2016,175.8,184.9,173.6,183.75,179.5273505,3110660,26023,558448548,844889,27.16,11.3,7.95
27-May-2016,185,202,181.55,195.55,189.4881651,11408487,89515,2161773268,2025809,17.76,20.45,10.55
30-May-2016,200.05,203.8,194.8,198.65,198.6277264,4293641,43244,852836150,845695,19.7,9,-1.4
31-May-2016,198.75,205.6,196.55,204.85,201.5173992,4087878,31701,823778543,855726,20.93,9.05,6.1
01-June-2016,206,207.95,196.5,197.9,202.6640368,4105938,39435,832125970,752540,18.33,11.45,-8.1
02-June-2016,198,202.25,195.8,200.55,199.105458,2657049,29673,529032958,306607,11.54,6.45,2.55
03-June-2016,201,202.4,195.4,196.5,198.8341634,2884550,21765,573547086,678211,23.51,7,-4.5
06-June-2016,197.25,202.3,197.1,199.05,199.5228353,1953139,18960,389695831,266652,13.65,5.2,1.8
